dedicated_video_card,name,price,processor,ram,screen,storage,video_card
,HP Chromebook 11A-NA0035NR [18J38UA],139990,Mediatek-MT8183 (8 núcleos / 8 hilos / 2000 MHz ),4 GB LPDDR4 (3733 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,ARM Mali G72 MP3 (Integrada)
,HP Chromebook 11A G8 EE [2Z748LT],139990,AMD A4-9120C (2 núcleos / 2 hilos / 1600 MHz  - 2400 MHz),4 GB DDR4L (1866 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,AMD Radeon R4 Graphics (Stoney Ridge) (Integrada)
,HP Chromebook x360 14a-CA0036NR [18W55UA],174990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB LPDDR4 (3733 MHz),"LED 14.0"" (1366x768) táctil / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,Acer Chromebook 315 (N4000 / 4GB / 32GB eMMC),179990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB LPDDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
,Acer Chromebook 311 C733 (N4020 / 4GB / 32GB eMMC),179990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB LPDDR4 (2400 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
,ASUS Chromebook C523NA-TH44F,189990,Intel Celeron N3350 (2 núcleos / 2 hilos / 1100 MHz  - 2400 MHz),4 GB LPDDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",eMMC 64GB,Intel HD Graphics 500 (Integrada)
,ASUS Chromebook CX22NA-BCLN4,189990,Intel Celeron N3350 (2 núcleos / 2 hilos / 1100 MHz  - 2400 MHz),4 GB LPDDR4 (3733 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 16GB,Intel HD Graphics 500 (Integrada)
,EVOO EV-C-116-7-PR,189990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,EVOO EV-C-116-7-BK,189990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,HP Chromebook 14A-NA0031WM [9FY38UA],189990,Intel Pentium Silver N5000 (4 núcleos / 4 hilos / 1100 MHz  - 2700 MHz),4 GB LPDDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 605 (Integrada)
,Lenovo 300e Chromebook 2nd Gen MTK [81QC000BCS],189990,Mediatek-MT8173C (4 núcleos / 4 hilos / 2100 MHz ),4 GB LPDDR3 (1866 MHz),"LED 11.6"" (1366x768) táctil / 60 Hz",eMMC 32GB,Imagination Technologies PowerVR GX6250 (Integrada)
,EVOO EV-C-116-7-BL,189990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,ASUS 15 X515MA-BR288T [90NB0TH1-M06640],189990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel UHD Graphics 600 (Integrada)
,Lenovo 100e Chromebook 2nd Gen MTK [81QB0000US],191990,Mediatek-MT8173C (4 núcleos / 4 hilos / 2100 MHz ),4 GB LPDDR3 (1866 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,Imagination Technologies PowerVR GX6250 (Integrada)
,Lenovo B41 (N3050 / 4GB / 500GB),199000,Intel Celeron N3050 (2 núcleos / 2 hilos / 1600 MHz  - 2167 MHz),4 GB DDR3L (1600 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics (Braswell) (Integrada)
,ASUS Chromebook C423NA-WB04,199990,Intel Celeron N3350 (2 núcleos / 2 hilos / 1100 MHz  - 2400 MHz),4 GB LPDDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 64GB,Intel HD Graphics 500 (Integrada)
,ASUS Chromebook C200 (N2830 / 4GB / 16GB eMMC),199990,Intel Celeron N2830 (2 núcleos / 2 hilos / 2167 MHz  - 2400 MHz),4 GB DDR3 (1600 MHz),"LED 11.6"" (1920x1080)  / 60 Hz",eMMC 16GB,Intel HD Graphics (Bay Trail) (Integrada)
,ASUS Chromebook C200 (2955U / 4GB / 16GB eMMC),199990,Intel Celeron 2955U (2 núcleos / 2 hilos / 1400 MHz ),4 GB DDR3 (1600 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 16GB,Intel HD Graphics (Haswell) (Integrada)
,HP Stream 11-AK0020NR [16V21UA],199990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB DDR3L (1600 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
,Lenovo N22 [80SF0001US],199990,Intel Celeron N3050 (2 núcleos / 2 hilos / 1600 MHz  - 2167 MHz),4 GB DDR3 (1600 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 16GB,Intel HD Graphics (Braswell) (Integrada)
,Lenovo ThinkPad N23 [80UR0002US],199990,Intel Celeron N3060 (2 núcleos / 2 hilos / 1600 MHz  - 2480 MHz),4 GB DDR3L (1600 MHz),"LED 11.6"" (1366x768) táctil / 60 Hz",eMMC 32GB,Intel HD Graphics 400 (Braswell) (Integrada)
,Lenovo 100e 2nd Gen [82GJ000DUS],209990,AMD Athlon 3015e (2 núcleos / 4 hilos / 1200 MHz  - 2300 MHz),4 GB DDR4 (1600 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 64GB,AMD Radeon RX Vega 3 (Integrada)
,Samsung Chromebook 4 XE310XBA-K01US,209990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB LPDDR4 (1600 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
